Asset ID,Device Category,Model,Manufacturer,Location,EOL Date
HW-1001,IoT Gateway (LoRaWAN),G-NetTrack Kit,Ericsson,Site B (Field),2028-08-29
HW-1002,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Data Center JKT,2026-08-23
HW-1003,5G Core Server,IWR6843,Texas Instruments,Base Station C,2026-10-22
HW-1004,Drive Test Equipment,IWR6843,Ericsson,Site A (Remote),2027-11-20
HW-1005,Edge Compute Unit,IWR6843,Texas Instruments,Site B (Field),2026-05-22
HW-1006,mmWave Radar Node,Catalyst IR1101,Ericsson,Rawa Lakbok Site,2026-02-01
HW-1007,mmWave Radar Node,RAK7249,Cisco,Base Station C,2027-08-08
HW-1008,mmWave Radar Node,G-NetTrack Kit,Cisco,Data Center JKT,2028-09-24
HW-1009,mmWave Radar Node,Catalyst IR1101,Texas Instruments,Site B (Field),2028-12-07
HW-1010,mmWave Radar Node,G-NetTrack Kit,Texas Instruments,Site A (Remote),2025-09-09
HW-1011,IoT Gateway (LoRaWAN),IWR6843,Rak Wireless,Rawa Lakbok Site,2025-08-29
HW-1012,Drive Test Equipment,RAK7249,Rak Wireless,Rawa Lakbok Site,2025-10-08
HW-1013,mmWave Radar Node,IWR6843,Ericsson,Base Station C,2028-09-26
HW-1014,5G Core Server,Catalyst IR1101,Rak Wireless,Site B (Field),2028-10-17
HW-1015,Edge Compute Unit,PowerEdge R740,Rak Wireless,Data Center JKT,2026-08-15
HW-1016,Drive Test Equipment,Catalyst IR1101,Texas Instruments,Base Station C,2029-02-15
HW-1017,5G Core Server,PowerEdge R740,Texas Instruments,Data Center JKT,2027-06-21
HW-1018,Edge Compute Unit,Catalyst IR1101,Dell,Rawa Lakbok Site,2028-06-09
HW-1019,Edge Compute Unit,Catalyst IR1101,Ericsson,Site B (Field),2027-09-18
HW-1020,IoT Gateway (LoRaWAN),G-NetTrack Kit,Rak Wireless,Site A (Remote),2027-06-07
HW-1021,IoT Gateway (LoRaWAN),G-NetTrack Kit,Dell,Site B (Field),2029-05-18
HW-1022,5G Core Server,Catalyst IR1101,Texas Instruments,Site B (Field),2027-05-16
HW-1023,5G Core Server,G-NetTrack Kit,Ericsson,Base Station C,2027-06-28
HW-1024,mmWave Radar Node,PowerEdge R740,Dell,Site A (Remote),2028-07-17
HW-1025,Edge Compute Unit,G-NetTrack Kit,Texas Instruments,Site B (Field),2025-08-10
HW-1026,Edge Compute Unit,G-NetTrack Kit,Rak Wireless,Rawa Lakbok Site,2025-11-05
HW-1027,mmWave Radar Node,Catalyst IR1101,Dell,Rawa Lakbok Site,2028-07-11
HW-1028,mmWave Radar Node,RAK7249,Dell,Data Center JKT,2027-04-29
HW-1029,Drive Test Equipment,RAK7249,Dell,Site A (Remote),2028-11-01
HW-1030,IoT Gateway (LoRaWAN),PowerEdge R740,Cisco,Data Center JKT,2025-09-28
HW-1031,IoT Gateway (LoRaWAN),IWR6843,Ericsson,Site A (Remote),2028-12-23
HW-1032,IoT Gateway (LoRaWAN),PowerEdge R740,Cisco,Site B (Field),2026-12-30
HW-1033,Edge Compute Unit,IWR6843,Dell,Rawa Lakbok Site,2028-12-09
HW-1034,5G Core Server,RAK7249,Texas Instruments,Site B (Field),2027-11-15
HW-1035,IoT Gateway (LoRaWAN),G-NetTrack Kit,Texas Instruments,Site A (Remote),2025-08-31
HW-1036,mmWave Radar Node,Catalyst IR1101,Dell,Site A (Remote),2029-03-27
HW-1037,Edge Compute Unit,RAK7249,Ericsson,Data Center JKT,2027-06-19
HW-1038,IoT Gateway (LoRaWAN),Catalyst IR1101,Texas Instruments,Rawa Lakbok Site,2025-11-02
HW-1039,Edge Compute Unit,PowerEdge R740,Cisco,Site A (Remote),2028-08-03
HW-1040,IoT Gateway (LoRaWAN),PowerEdge R740,Rak Wireless,Data Center JKT,2026-07-22
HW-1041,5G Core Server,PowerEdge R740,Dell,Rawa Lakbok Site,2028-11-16
HW-1042,mmWave Radar Node,IWR6843,Dell,Site A (Remote),2027-05-06
HW-1043,Drive Test Equipment,RAK7249,Rak Wireless,Data Center JKT,2027-06-15
HW-1044,Edge Compute Unit,PowerEdge R740,Cisco,Site B (Field),2027-10-10
HW-1045,mmWave Radar Node,G-NetTrack Kit,Texas Instruments,Site B (Field),2027-11-05
HW-1046,IoT Gateway (LoRaWAN),RAK7249,Texas Instruments,Site A (Remote),2027-03-19
HW-1047,mmWave Radar Node,G-NetTrack Kit,Dell,Site B (Field),2027-06-30
HW-1048,5G Core Server,PowerEdge R740,Cisco,Data Center JKT,2027-02-18
HW-1049,mmWave Radar Node,RAK7249,Ericsson,Base Station C,2027-02-23
HW-1050,IoT Gateway (LoRaWAN),G-NetTrack Kit,Cisco,Site B (Field),2027-04-03
HW-1051,Edge Compute Unit,Catalyst IR1101,Cisco,Rawa Lakbok Site,2027-04-11
HW-1052,5G Core Server,IWR6843,Cisco,Site B (Field),2028-09-06
HW-1053,Drive Test Equipment,PowerEdge R740,Texas Instruments,Base Station C,2025-07-25
HW-1054,mmWave Radar Node,IWR6843,Dell,Site A (Remote),2028-02-16
HW-1055,5G Core Server,G-NetTrack Kit,Ericsson,Base Station C,2027-10-22
HW-1056,IoT Gateway (LoRaWAN),PowerEdge R740,Dell,Base Station C,2029-04-18
HW-1057,Edge Compute Unit,PowerEdge R740,Texas Instruments,Site B (Field),2027-02-03
HW-1058,IoT Gateway (LoRaWAN),PowerEdge R740,Cisco,Site A (Remote),2029-03-23
HW-1059,mmWave Radar Node,IWR6843,Rak Wireless,Data Center JKT,2029-06-27
HW-1060,Edge Compute Unit,G-NetTrack Kit,Cisco,Base Station C,2029-06-22
HW-1061,IoT Gateway (LoRaWAN),IWR6843,Cisco,Site A (Remote),2026-05-15
HW-1062,Edge Compute Unit,G-NetTrack Kit,Rak Wireless,Site A (Remote),2028-05-23
HW-1063,mmWave Radar Node,RAK7249,Cisco,Site B (Field),2029-04-13
HW-1064,IoT Gateway (LoRaWAN),Catalyst IR1101,Rak Wireless,Rawa Lakbok Site,2027-10-25
HW-1065,Edge Compute Unit,Catalyst IR1101,Dell,Site A (Remote),2026-02-16
HW-1066,5G Core Server,G-NetTrack Kit,Texas Instruments,Rawa Lakbok Site,2025-08-09
HW-1067,Drive Test Equipment,Catalyst IR1101,Dell,Site B (Field),2026-01-08
HW-1068,Edge Compute Unit,PowerEdge R740,Dell,Site B (Field),2025-10-31
HW-1069,Drive Test Equipment,RAK7249,Texas Instruments,Data Center JKT,2026-12-01
HW-1070,5G Core Server,Catalyst IR1101,Ericsson,Base Station C,2026-05-16
HW-1071,mmWave Radar Node,Catalyst IR1101,Ericsson,Site A (Remote),2028-04-30
HW-1072,Drive Test Equipment,G-NetTrack Kit,Dell,Data Center JKT,2029-04-29
HW-1073,IoT Gateway (LoRaWAN),IWR6843,Ericsson,Site B (Field),2027-04-25
HW-1074,IoT Gateway (LoRaWAN),RAK7249,Ericsson,Site B (Field),2028-02-11
HW-1075,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Site B (Field),2027-11-18
HW-1076,mmWave Radar Node,RAK7249,Ericsson,Rawa Lakbok Site,2029-05-26
HW-1077,Edge Compute Unit,IWR6843,Texas Instruments,Data Center JKT,2028-10-09
HW-1078,mmWave Radar Node,RAK7249,Ericsson,Base Station C,2026-05-12
HW-1079,5G Core Server,G-NetTrack Kit,Dell,Base Station C,2026-12-03
HW-1080,5G Core Server,G-NetTrack Kit,Cisco,Rawa Lakbok Site,2027-10-16
HW-1081,5G Core Server,Catalyst IR1101,Texas Instruments,Data Center JKT,2026-08-09
HW-1082,Drive Test Equipment,RAK7249,Texas Instruments,Site A (Remote),2028-12-08
HW-1083,Edge Compute Unit,Catalyst IR1101,Dell,Site A (Remote),2025-11-10
HW-1084,mmWave Radar Node,RAK7249,Dell,Base Station C,2028-06-01
HW-1085,Edge Compute Unit,IWR6843,Ericsson,Site A (Remote),2026-11-19
HW-1086,Edge Compute Unit,G-NetTrack Kit,Rak Wireless,Data Center JKT,2025-12-22
HW-1087,Edge Compute Unit,RAK7249,Cisco,Base Station C,2028-02-27
HW-1088,Edge Compute Unit,Catalyst IR1101,Cisco,Rawa Lakbok Site,2026-08-23
HW-1089,IoT Gateway (LoRaWAN),IWR6843,Cisco,Base Station C,2026-07-30
HW-1090,Drive Test Equipment,IWR6843,Cisco,Rawa Lakbok Site,2029-06-02
HW-1091,Drive Test Equipment,RAK7249,Rak Wireless,Data Center JKT,2027-12-15
HW-1092,IoT Gateway (LoRaWAN),RAK7249,Rak Wireless,Data Center JKT,2025-10-23
HW-1093,IoT Gateway (LoRaWAN),IWR6843,Rak Wireless,Site B (Field),2027-04-07
HW-1094,5G Core Server,Catalyst IR1101,Cisco,Site B (Field),2025-11-01
HW-1095,Drive Test Equipment,G-NetTrack Kit,Rak Wireless,Base Station C,2026-12-21
HW-1096,5G Core Server,RAK7249,Rak Wireless,Site A (Remote),2025-11-17
HW-1097,Edge Compute Unit,RAK7249,Ericsson,Base Station C,2029-06-05
HW-1098,mmWave Radar Node,IWR6843,Dell,Site B (Field),2027-11-30
HW-1099,Edge Compute Unit,IWR6843,Texas Instruments,Site B (Field),2028-03-03
HW-1100,Edge Compute Unit,G-NetTrack Kit,Ericsson,Rawa Lakbok Site,2027-03-16
HW-1101,5G Core Server,Catalyst IR1101,Rak Wireless,Site B (Field),2026-07-17
HW-1102,mmWave Radar Node,RAK7249,Ericsson,Rawa Lakbok Site,2028-12-07
HW-1103,5G Core Server,Catalyst IR1101,Rak Wireless,Rawa Lakbok Site,2028-01-31
HW-1104,IoT Gateway (LoRaWAN),PowerEdge R740,Dell,Site A (Remote),2029-06-21
HW-1105,Drive Test Equipment,Catalyst IR1101,Dell,Site A (Remote),2028-03-02
HW-1106,IoT Gateway (LoRaWAN),RAK7249,Cisco,Data Center JKT,2028-10-18
HW-1107,Edge Compute Unit,PowerEdge R740,Rak Wireless,Site B (Field),2028-05-06
HW-1108,Drive Test Equipment,IWR6843,Ericsson,Base Station C,2025-09-15
HW-1109,Edge Compute Unit,Catalyst IR1101,Cisco,Data Center JKT,2027-05-31
HW-1110,5G Core Server,PowerEdge R740,Dell,Rawa Lakbok Site,2025-08-20
HW-1111,Drive Test Equipment,G-NetTrack Kit,Ericsson,Base Station C,2026-07-20
HW-1112,mmWave Radar Node,G-NetTrack Kit,Texas Instruments,Site A (Remote),2029-07-16
HW-1113,Drive Test Equipment,IWR6843,Texas Instruments,Site A (Remote),2027-12-27
HW-1114,Drive Test Equipment,IWR6843,Texas Instruments,Base Station C,2027-02-05
HW-1115,5G Core Server,PowerEdge R740,Ericsson,Site A (Remote),2028-03-10
HW-1116,Drive Test Equipment,IWR6843,Dell,Site A (Remote),2025-11-17
HW-1117,Drive Test Equipment,PowerEdge R740,Rak Wireless,Data Center JKT,2026-12-22
HW-1118,5G Core Server,RAK7249,Ericsson,Site A (Remote),2026-08-01
HW-1119,mmWave Radar Node,Catalyst IR1101,Texas Instruments,Site A (Remote),2026-06-12
HW-1120,mmWave Radar Node,PowerEdge R740,Rak Wireless,Base Station C,2028-09-20
HW-1121,5G Core Server,PowerEdge R740,Dell,Base Station C,2028-05-14
HW-1122,mmWave Radar Node,G-NetTrack Kit,Ericsson,Data Center JKT,2025-09-12
HW-1123,Drive Test Equipment,PowerEdge R740,Cisco,Base Station C,2026-12-25
HW-1124,mmWave Radar Node,Catalyst IR1101,Dell,Rawa Lakbok Site,2028-08-01
HW-1125,IoT Gateway (LoRaWAN),Catalyst IR1101,Ericsson,Site B (Field),2029-07-10
HW-1126,5G Core Server,G-NetTrack Kit,Texas Instruments,Rawa Lakbok Site,2028-05-09
HW-1127,IoT Gateway (LoRaWAN),RAK7249,Rak Wireless,Base Station C,2026-02-09
HW-1128,Drive Test Equipment,Catalyst IR1101,Ericsson,Base Station C,2029-01-31
HW-1129,Edge Compute Unit,IWR6843,Rak Wireless,Site A (Remote),2025-10-16
HW-1130,Drive Test Equipment,IWR6843,Texas Instruments,Site A (Remote),2026-07-14
HW-1131,Drive Test Equipment,G-NetTrack Kit,Dell,Data Center JKT,2028-03-25
HW-1132,5G Core Server,G-NetTrack Kit,Dell,Data Center JKT,2027-11-11
HW-1133,mmWave Radar Node,G-NetTrack Kit,Rak Wireless,Base Station C,2029-06-03
HW-1134,Edge Compute Unit,Catalyst IR1101,Rak Wireless,Base Station C,2027-10-28
HW-1135,Drive Test Equipment,IWR6843,Dell,Base Station C,2028-04-01
HW-1136,IoT Gateway (LoRaWAN),PowerEdge R740,Ericsson,Site B (Field),2026-03-11
HW-1137,5G Core Server,IWR6843,Dell,Data Center JKT,2029-04-21
HW-1138,Drive Test Equipment,G-NetTrack Kit,Rak Wireless,Data Center JKT,2028-03-27
HW-1139,IoT Gateway (LoRaWAN),G-NetTrack Kit,Texas Instruments,Site B (Field),2026-04-11
HW-1140,Drive Test Equipment,Catalyst IR1101,Cisco,Rawa Lakbok Site,2029-05-04
HW-1141,IoT Gateway (LoRaWAN),RAK7249,Ericsson,Site B (Field),2027-10-11
HW-1142,IoT Gateway (LoRaWAN),PowerEdge R740,Dell,Data Center JKT,2028-11-23
HW-1143,Drive Test Equipment,IWR6843,Cisco,Rawa Lakbok Site,2028-04-26
HW-1144,IoT Gateway (LoRaWAN),G-NetTrack Kit,Rak Wireless,Site A (Remote),2026-10-20
HW-1145,IoT Gateway (LoRaWAN),PowerEdge R740,Rak Wireless,Data Center JKT,2028-05-20
HW-1146,Drive Test Equipment,IWR6843,Dell,Site A (Remote),2025-12-21
HW-1147,5G Core Server,G-NetTrack Kit,Texas Instruments,Site A (Remote),2029-06-07
HW-1148,5G Core Server,PowerEdge R740,Ericsson,Rawa Lakbok Site,2026-05-04
HW-1149,mmWave Radar Node,IWR6843,Rak Wireless,Base Station C,2028-03-10
HW-1150,5G Core Server,PowerEdge R740,Cisco,Site A (Remote),2026-11-20
HW-1151,Edge Compute Unit,PowerEdge R740,Rak Wireless,Rawa Lakbok Site,2029-02-03
HW-1152,mmWave Radar Node,IWR6843,Cisco,Data Center JKT,2029-05-05
HW-1153,Drive Test Equipment,G-NetTrack Kit,Ericsson,Site A (Remote),2026-04-03
HW-1154,Drive Test Equipment,Catalyst IR1101,Rak Wireless,Base Station C,2026-08-01
HW-1155,Edge Compute Unit,Catalyst IR1101,Rak Wireless,Base Station C,2026-05-26
HW-1156,IoT Gateway (LoRaWAN),Catalyst IR1101,Cisco,Site B (Field),2025-12-27
HW-1157,Drive Test Equipment,Catalyst IR1101,Ericsson,Rawa Lakbok Site,2026-08-24
HW-1158,Drive Test Equipment,RAK7249,Ericsson,Rawa Lakbok Site,2027-09-29
HW-1159,Drive Test Equipment,G-NetTrack Kit,Rak Wireless,Data Center JKT,2027-05-10
HW-1160,5G Core Server,Catalyst IR1101,Cisco,Site A (Remote),2027-09-25
HW-1161,Drive Test Equipment,IWR6843,Dell,Site B (Field),2027-06-27
HW-1162,Edge Compute Unit,G-NetTrack Kit,Rak Wireless,Site B (Field),2026-07-13
HW-1163,Edge Compute Unit,RAK7249,Rak Wireless,Site A (Remote),2028-04-27
HW-1164,5G Core Server,RAK7249,Rak Wireless,Base Station C,2025-10-24
HW-1165,mmWave Radar Node,RAK7249,Ericsson,Site B (Field),2025-11-21
HW-1166,mmWave Radar Node,RAK7249,Dell,Base Station C,2026-09-21
HW-1167,IoT Gateway (LoRaWAN),PowerEdge R740,Texas Instruments,Site A (Remote),2028-01-02
HW-1168,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Data Center JKT,2028-10-29
HW-1169,5G Core Server,Catalyst IR1101,Cisco,Site A (Remote),2026-02-24
HW-1170,Edge Compute Unit,G-NetTrack Kit,Cisco,Site B (Field),2027-11-26
HW-1171,IoT Gateway (LoRaWAN),RAK7249,Cisco,Data Center JKT,2028-04-15
HW-1172,Edge Compute Unit,PowerEdge R740,Texas Instruments,Rawa Lakbok Site,2029-05-18
HW-1173,IoT Gateway (LoRaWAN),G-NetTrack Kit,Rak Wireless,Site B (Field),2028-03-29
HW-1174,mmWave Radar Node,G-NetTrack Kit,Cisco,Data Center JKT,2027-07-18
HW-1175,Drive Test Equipment,IWR6843,Cisco,Site A (Remote),2027-01-09
HW-1176,5G Core Server,Catalyst IR1101,Texas Instruments,Site A (Remote),2029-03-28
HW-1177,5G Core Server,RAK7249,Dell,Data Center JKT,2029-07-22
HW-1178,mmWave Radar Node,Catalyst IR1101,Cisco,Base Station C,2027-08-03
HW-1179,Drive Test Equipment,RAK7249,Rak Wireless,Data Center JKT,2026-12-07
HW-1180,Drive Test Equipment,IWR6843,Cisco,Base Station C,2027-11-02
HW-1181,Edge Compute Unit,RAK7249,Cisco,Site B (Field),2027-12-15
HW-1182,Edge Compute Unit,RAK7249,Cisco,Site A (Remote),2025-10-14
HW-1183,IoT Gateway (LoRaWAN),PowerEdge R740,Ericsson,Base Station C,2026-08-01
HW-1184,5G Core Server,RAK7249,Dell,Site B (Field),2027-05-28
HW-1185,IoT Gateway (LoRaWAN),RAK7249,Ericsson,Data Center JKT,2028-04-29
HW-1186,Drive Test Equipment,IWR6843,Cisco,Data Center JKT,2026-05-12
HW-1187,Edge Compute Unit,PowerEdge R740,Ericsson,Base Station C,2027-09-10
HW-1188,IoT Gateway (LoRaWAN),IWR6843,Dell,Site A (Remote),2028-02-22
HW-1189,mmWave Radar Node,RAK7249,Dell,Rawa Lakbok Site,2028-05-03
HW-1190,IoT Gateway (LoRaWAN),PowerEdge R740,Ericsson,Base Station C,2028-03-21
HW-1191,Drive Test Equipment,G-NetTrack Kit,Cisco,Rawa Lakbok Site,2026-12-13
HW-1192,mmWave Radar Node,G-NetTrack Kit,Cisco,Rawa Lakbok Site,2028-03-06
HW-1193,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Rawa Lakbok Site,2027-12-30
HW-1194,mmWave Radar Node,RAK7249,Cisco,Base Station C,2027-03-16
HW-1195,mmWave Radar Node,RAK7249,Cisco,Site B (Field),2028-10-31
HW-1196,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Site A (Remote),2027-11-21
HW-1197,5G Core Server,RAK7249,Cisco,Rawa Lakbok Site,2027-12-15
HW-1198,IoT Gateway (LoRaWAN),G-NetTrack Kit,Texas Instruments,Site B (Field),2028-07-22
HW-1199,IoT Gateway (LoRaWAN),IWR6843,Ericsson,Site A (Remote),2026-09-08
HW-1200,mmWave Radar Node,IWR6843,Rak Wireless,Rawa Lakbok Site,2028-06-19
HW-1201,Drive Test Equipment,G-NetTrack Kit,Cisco,Rawa Lakbok Site,2026-11-13
HW-1202,Edge Compute Unit,IWR6843,Dell,Site A (Remote),2025-10-27
HW-1203,Drive Test Equipment,IWR6843,Texas Instruments,Data Center JKT,2025-09-28
HW-1204,mmWave Radar Node,Catalyst IR1101,Cisco,Site B (Field),2026-02-09
HW-1205,5G Core Server,G-NetTrack Kit,Dell,Site A (Remote),2027-12-10
HW-1206,IoT Gateway (LoRaWAN),G-NetTrack Kit,Texas Instruments,Base Station C,2027-02-20
HW-1207,IoT Gateway (LoRaWAN),IWR6843,Ericsson,Data Center JKT,2029-03-19
HW-1208,5G Core Server,Catalyst IR1101,Dell,Site A (Remote),2026-08-03
HW-1209,Edge Compute Unit,PowerEdge R740,Ericsson,Site B (Field),2026-02-19
HW-1210,Edge Compute Unit,PowerEdge R740,Rak Wireless,Rawa Lakbok Site,2025-10-20
HW-1211,Edge Compute Unit,RAK7249,Cisco,Rawa Lakbok Site,2026-04-18
HW-1212,Drive Test Equipment,PowerEdge R740,Ericsson,Site A (Remote),2026-01-24
HW-1213,5G Core Server,RAK7249,Dell,Data Center JKT,2029-01-08
HW-1214,5G Core Server,G-NetTrack Kit,Texas Instruments,Data Center JKT,2029-05-08
HW-1215,5G Core Server,IWR6843,Texas Instruments,Site B (Field),2029-03-27
HW-1216,mmWave Radar Node,PowerEdge R740,Ericsson,Rawa Lakbok Site,2029-01-08
HW-1217,IoT Gateway (LoRaWAN),PowerEdge R740,Texas Instruments,Data Center JKT,2026-12-24
HW-1218,5G Core Server,IWR6843,Cisco,Base Station C,2026-04-22
HW-1219,IoT Gateway (LoRaWAN),RAK7249,Texas Instruments,Data Center JKT,2026-03-15
HW-1220,mmWave Radar Node,RAK7249,Rak Wireless,Rawa Lakbok Site,2028-12-08
HW-1221,mmWave Radar Node,RAK7249,Ericsson,Base Station C,2028-06-21
HW-1222,Drive Test Equipment,Catalyst IR1101,Ericsson,Base Station C,2027-06-19
HW-1223,Drive Test Equipment,Catalyst IR1101,Rak Wireless,Data Center JKT,2026-01-30
HW-1224,mmWave Radar Node,RAK7249,Texas Instruments,Site B (Field),2029-04-28
HW-1225,Drive Test Equipment,RAK7249,Dell,Rawa Lakbok Site,2025-12-14
HW-1226,IoT Gateway (LoRaWAN),IWR6843,Rak Wireless,Data Center JKT,2029-07-06
HW-1227,Edge Compute Unit,RAK7249,Rak Wireless,Rawa Lakbok Site,2028-11-10
HW-1228,5G Core Server,Catalyst IR1101,Texas Instruments,Site B (Field),2026-12-25
HW-1229,5G Core Server,G-NetTrack Kit,Texas Instruments,Site B (Field),2025-10-17
HW-1230,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Site A (Remote),2028-08-03
HW-1231,Edge Compute Unit,PowerEdge R740,Dell,Site B (Field),2028-04-03
HW-1232,Edge Compute Unit,PowerEdge R740,Rak Wireless,Base Station C,2026-06-08
HW-1233,Drive Test Equipment,Catalyst IR1101,Rak Wireless,Base Station C,2027-12-20
HW-1234,5G Core Server,Catalyst IR1101,Texas Instruments,Data Center JKT,2027-10-02
HW-1235,mmWave Radar Node,G-NetTrack Kit,Rak Wireless,Rawa Lakbok Site,2027-03-13
HW-1236,IoT Gateway (LoRaWAN),G-NetTrack Kit,Cisco,Data Center JKT,2027-12-22
HW-1237,Edge Compute Unit,G-NetTrack Kit,Rak Wireless,Rawa Lakbok Site,2028-06-15
HW-1238,5G Core Server,G-NetTrack Kit,Rak Wireless,Data Center JKT,2029-05-28
HW-1239,Drive Test Equipment,IWR6843,Cisco,Rawa Lakbok Site,2026-06-10
HW-1240,mmWave Radar Node,RAK7249,Rak Wireless,Site B (Field),2027-09-06
HW-1241,Edge Compute Unit,G-NetTrack Kit,Cisco,Rawa Lakbok Site,2028-04-28
HW-1242,IoT Gateway (LoRaWAN),IWR6843,Ericsson,Site B (Field),2027-08-20
HW-1243,5G Core Server,IWR6843,Texas Instruments,Site B (Field),2026-09-12
HW-1244,IoT Gateway (LoRaWAN),RAK7249,Ericsson,Base Station C,2027-03-06
HW-1245,IoT Gateway (LoRaWAN),RAK7249,Dell,Site A (Remote),2026-07-04
HW-1246,mmWave Radar Node,PowerEdge R740,Texas Instruments,Data Center JKT,2026-08-11
HW-1247,Edge Compute Unit,PowerEdge R740,Dell,Rawa Lakbok Site,2026-03-19
HW-1248,Drive Test Equipment,IWR6843,Ericsson,Data Center JKT,2028-05-24
HW-1249,Drive Test Equipment,RAK7249,Ericsson,Site A (Remote),2028-04-11
